CO_CURSO,y_true,y_pred,y_proba
1148863,0,0,0.3497673920160574
1303498,1,0,0.4881551851179164
1294715,0,0,0.15816313411580601
1276595,0,1,0.7450767580144011
1351961,0,0,0.13415890018521454
38083,0,0,0.12880627237089162
11553,1,1,0.6047260205121872
150201,1,1,0.9976930021921542
1172361,0,0,0.0011880595386457205
116510,0,0,0.0018433916280600612
1174558,0,1,0.9563861317474989
1441096,0,0,0.014641048675505664
1465658,0,0,0.001327661175816787
109902,1,1,0.7159094467119871
96707,1,1,0.7222746234777009
1484721,0,1,0.6268154002590011
91895,1,1,0.9117265127320865
20036,0,0,0.021181529606493096
3174,1,1,0.8080027894828916
1399606,0,0,0.0907054436178597
73250,0,0,0.2771308828914434
1208914,1,1,0.936378565256382
51264,1,1,0.7598333392137523
13859,1,1,0.9936925662282129
8100,1,1,0.857993812963188
1304987,0,0,0.005848653264116933
1321424,0,0,0.0003618814910988934
1341667,1,1,0.9841798622315645
1332404,1,1,0.9620774797431619
1419932,1,1,0.5790310222111162
7521,0,0,0.22192192342653827
1365187,0,0,0.0031936495346079337
1486170,0,0,0.02973823290573582
1182262,1,1,0.5873331760324595
1258088,0,0,0.0010059295711863272
68685,1,1,0.9734228212578323
19600,1,1,0.7531352741296117
15408,1,1,0.996124664090016
1367370,0,0,0.02042248539153989
1443205,0,0,0.25177080703968363
89134,0,0,0.01837070371323215
1367931,1,0,0.48682263533142217
109988,1,1,0.8790133840042925
15489,0,0,0.02032131631780867
21628,0,1,0.7283438719797073
121137,0,1,0.8858996044779831
13103,1,1,0.9996657059402944
1520539,1,1,0.9066411497884702
92135,1,1,0.8779590798753836
1279790,0,0,0.008368530706545222
87276,0,0,0.04670271222925097
90529,1,1,0.9578374279432162
50526,1,0,0.47657880946752323
1327613,0,0,0.0645855292980299
56664,1,1,0.9204028640118631
1192391,0,0,0.0008144986251786358
1188363,0,1,0.6205435662181381
1202732,0,0,0.0037783627232497357
1190185,1,1,0.9177427215164246
91358,0,0,0.004692746687358004
21538,1,1,0.9985630846080752
98986,1,1,0.8414683873236153
81111,1,1,0.6669177084156864
109309,1,1,0.6658529337824444
1261240,0,0,0.0015832998768104671
1468017,0,0,0.1780127398274311
1299521,0,0,0.05357886082679642
1365555,1,1,0.5834997107552364
100812,0,0,0.0048549645199799756
65861,0,0,0.014757786581324829
1280312,0,0,0.07351580833708324
14724,1,1,0.9536456373982456
121850,1,1,0.9990440507025337
5000428,0,1,0.933350840023715
112108,1,1,0.6758895302091409
65065,0,0,0.335313865538081
1160988,0,0,0.01187219597632043
76580,1,1,0.8585453414493179
1107276,1,1,0.9585395712698705
1313151,0,1,0.8875372868695043
1106857,1,1,0.7616888832242802
21630,1,1,0.8830746934274206
1364195,1,1,0.6857283347966319
59638,1,1,0.6182563868487084
1458695,0,0,0.08231479426401118
86500,1,1,0.9689705572644157
118708,0,0,0.3285623796245087
1365928,1,1,0.7244051931838411
118051,1,1,0.5789044261164669
1439084,1,1,0.8954128263380723
1186099,1,1,0.8861789716669245
98618,0,0,0.01154921494076486
1405469,0,0,0.06566149330027654
1170808,0,1,0.8924313683778802
92945,0,0,0.009062810961841415
1161066,0,0,0.4653209044102486
1185158,1,1,0.907947844412527
18365,1,1,0.9792567225194478
15267,0,1,0.9131352686138634
19683,1,1,0.7064628322308878
5133,1,1,0.9110311681741389
73980,1,1,0.7009177263687282
10054,0,0,0.0030300216099157264
119904,0,0,0.004247403654125409
1322318,1,0,0.3801135381801715
56622,0,1,0.7493064776857093
1330330,0,0,0.01945817829594338
118710,1,1,0.5729943953225423
1205125,1,0,0.2621056689392329
72329,0,0,0.11371522280669577
3206,1,1,0.9996737782851549
115106,1,1,0.920218823386635
150151,0,0,0.059700111099641816
1457468,0,0,0.1659284658126237
8062,1,1,0.9353080141223714
117337,1,1,0.9832506789169939
1477899,1,0,0.41595646655775725
1153311,0,0,0.2842412485961019
1163374,1,1,0.8852489019050384
45693,1,1,0.9726965893009186
1125256,0,0,0.04032866151123374
64114,1,1,0.9968324333251218
79870,0,1,0.524901950149451
114548,0,1,0.6140079916337932
91013,0,0,0.26871083751120634
102208,0,0,0.047768498987155274
1045117,0,1,0.8668465658737108
83301,0,0,0.05652414297528705
95137,0,0,0.15505270416315287
1184047,1,1,0.9983458744817245
1257980,0,1,0.532166210638179
1321864,1,1,0.9654957582009407
1100879,1,1,0.957195859516748
1110420,0,0,0.022182174707555027
1180814,1,0,0.29805675632433565
1288409,0,1,0.5407224112409524
115250,1,0,0.07380287175820528
1364885,0,0,0.2365544309681187
1168609,0,1,0.8320320106855364
19008,1,1,0.9659705640648196
1258880,0,0,0.06405889183181278
1125905,0,0,0.4978709022247367
39516,1,1,0.9991599057629892
65977,1,1,0.935739218433176
1122943,0,0,0.06538602208263196
1304978,1,1,0.9209080958742052
112538,1,1,0.7647974513872742
99521,0,0,0.010481766842490811
1153354,0,0,0.12665623970339362
67795,0,0,0.37185181593442806
1453934,0,0,0.30788414470387954
12953,1,1,0.9996355039746612
12013,1,1,0.9931644514541218
1186561,0,0,0.004200474618074929
1439450,0,0,0.007727077615313609
99076,1,1,0.9938743285586252
72407,1,1,0.6627046957736752
118378,0,1,0.543292305231124
1101878,0,0,0.00012884608626241158
18625,0,0,0.010153045480178908
117226,0,1,0.5545112751676904
109484,0,0,0.10380556132383963
73370,0,1,0.63403766204249
100878,0,0,0.41462062476269135
1350166,0,0,0.016543919528184202
8669,1,1,0.9485823574297391
46875,1,1,0.9911448638517473
1140088,1,1,0.9951279113644952
1518363,1,1,0.818907734755119
